CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05;Outras Receitas Operacionais;23855006.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;11644419.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;13602500.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao Valor Justo por Meio do Resultado;-1317074.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao Valor Justo por Meio do Resultado;-2175394.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros Disponíveis para Venda;305540.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros Disponíveis para Venda;364147.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas;90511.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas;127620.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.05;Resultado com Operações de Seguro e Previdência Complementar;1495618.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.05;Resultado com Operações de Seguro e Previdência Complementar;1928181.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.05.06;Outras Receitas;13239712.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.05.06;Outras Receitas;10007952.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.06;Outras Despesas Operacionais;-14055418.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.06;Outras Despesas Operacionais;-18545685.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.06.01;Amortização de Ativos Intangíveis;-1938112.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.06.01;Amortização de Ativos Intangíveis;-2948594.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.06.02;Depreciação;-868117.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.06.02;Depreciação;-1013015.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.06.03;Outras Despesas;-11249189.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.06.03;Outras Despesas;-14584076.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;19623382.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;16550866.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-6143992.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-5220521.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.06.01;Corrente;-5938060.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.06.01;Corrente;-6272346.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.06.02;Diferido;-205932.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.06.02;Diferido;1051825.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.07;Resultado Líquido das Operações Continuadas;13479390.00
