CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.03.02;Obrigações Fiscais Estaduais;76634.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.03.03;Obrigações Fiscais Municipais;3706.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.03.03;Obrigações Fiscais Municipais;6668.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04;Empréstimos e Financiamentos;723337.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04;Empréstimos e Financiamentos;1321169.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04.01;Empréstimos e Financiamentos;723091.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04.01;Empréstimos e Financiamentos;1320955.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04.01.01;Em Moeda Nacional;361373.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04.01.01;Em Moeda Nacional;1304394.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04.01.02;Em Moeda Estrangeira;361718.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04.01.02;Em Moeda Estrangeira;16561.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04.02;Debêntures;246.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04.02;Debêntures;214.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.04.03;Financiamento por Arrendamento;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.04.03;Financiamento por Arrendamento;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05;Outras Obrigações;343336.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05;Outras Obrigações;577599.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.01;Passivos com Partes Relacionadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.01;Passivos com Partes Relacionadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.01.01;Débitos com Coligadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.01.01;Débitos com Coligadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.01.03;Débitos com Controladores;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.01.03;Débitos com Controladores;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.02;Outros;343336.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.02;Outros;577599.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06;Provisões;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06;Provisões;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.01.01;Provisões Fiscais;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.01.01;Provisões Fiscais;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.00
